Exoplanet,TIC ID,Period,Semi-Major Axis,Radius (J),Mass (E),Mass (J),Eccentricity,TTV Flag,Temperature (Star),Radius (Star),Mass (Star),Metallicity (Star),Logg (Star),Transit Mid Point,Transit Duration,Temperature Error (Star),Radius Error (Star),Metallicity Error (Star),Logg Error,Inclination,Periastron,Right Ascension,Declination,Galactic Lattitude,Galactic Longitude,Distance (pc),Parallax (mas),TESS Magnitude,Period Error,Transit Mid Point Error,Semi Major Axis Error,Planet Radius Error (J),Inclination Error,Periastron Error,Eccentricity Error,Archive,Transits,Date,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Archive Used,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
47 Uma c,,2391.0,3.6,,,,0.098,,5892.0,1.24,1.03,0.0,,,,70.0,0.04,0.07,,,295.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
47 Uma d,,14002.0,11.6,,,,0.16,,5892.0,1.24,1.03,0.0,,,,70.0,0.04,0.07,,,110.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
51 Eri b,TIC 298810162,11688.0,13.2,1.19,635.66,2.0,0.45,0,7295.0,1.49,1.75,-0.027,4.31,,,120.09,0.05,0.045,0.09,133.0,87.0,69.4007424,-2.4738245,-30.65764,198.61297,29.7575,33.577,4.9574,6209.25,,0.2,,14.0,34.0,0.1,NASA,,,,,,,,,,,,
51 Eri b,,,,0.76,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
51 Eri b,,10260.0,11.1,1.11,,,0.49,,,,1.75,-0.027,,,,,,,,136.0,84.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
51 Eri b,,15000.0,14.0,1.0,,,0.21,,,,1.75,-0.027,,,,,,,,138.0,90.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
51 Peg b,,4.230785,0.0521068,,,,0.013,,5786.68,1.02451,1.054,0.199853,4.44905,,,44.0,0.0355286,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
51 Peg b,,4.231,0.052,,,,0.0,,5793.0,1.266,1.04,0.2,,,,,,,,80.0,0.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
51 Peg b,TIC 139298196,4.230785,0.0527,1.27,146.2018,0.46,0.013,0,5758.0,1.18,1.03,0.18,4.31,,,101.62,0.07,0.1,0.08,80.0,58.0,344.3675399,20.7690958,-34.7275,90.06374,15.4614,64.6488,4.8576,3.6e-05,,0.003,,10.0,,0.012,NASA,,,,,,,,,,,,
51 Peg b,,4.2308,0.052,1.9,,,0.0069,,5793.0,1.266,1.11,0.2,,,,70.0,0.046,0.07,,80.0,54.1,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
55 Cancri b,,14.6516,0.1134,,,,0.0,,5172.0,0.943,0.905,0.35,,,,,,,,,-21.5,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
55 Cancri c,,44.3989,0.2373,,,,0.03,,5172.0,0.943,0.905,0.35,,,,,,,,,2.4,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
55 Cancri d,,5574.2,5.957,,,,0.13,,5172.0,0.943,0.905,0.35,,,,,,,,,-69.1,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
55 Cancri e,,0.7365474,0.01544,0.16728,,,0.05,,5172.0,0.943,0.905,0.35,,,,,,,,83.59,86.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
55 Cancri f,,259.88,0.7708,,,,0.08,,5172.0,0.943,0.905,0.35,,,,,,,,,-97.6,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
55 Cnc b,,14.65314,0.11339,,,,0.0023,,5196.0,0.98,1.015,0.31,,,,24.0,0.016,0.04,,89.73,110.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
55 Cnc b,TIC 332064670,14.6516,0.1134,1.24,263.9785,0.8306,0.0,0,5172.0,0.94,0.91,0.35,4.43,,,18.0,0.01,0.1,0.02,89.73,-21.5,133.1468373,28.3298154,37.69663,196.79526,12.5855,79.4274,5.2058,0.0001,,0.0006,,24.49,56.9,0.01,NASA,,,,,,,,,,,,
55 Cnc b,,14.651,0.113377,,,,0.004,,5196.0,0.943,0.905,0.314513,4.45,,,24.0,0.01,0.03,0.01,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
55 Cnc c,TIC 332064670,44.3989,0.2373,0.76,54.4738,0.1714,0.03,0,5172.0,0.94,0.91,0.35,4.43,,,18.0,0.01,0.1,0.02,89.73,2.4,133.1468373,28.3298154,37.69663,196.79526,12.5855,79.4274,5.2058,0.0042,,0.0013,,24.49,43.1,0.02,NASA,,,,,,,,,,,,
55 Cnc c,,44.38,0.237305,,,,0.07,,5196.0,0.943,0.905,0.314513,4.45,,,24.0,0.01,0.03,0.01,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
55 Cnc c,,44.373,0.23735,,,,0.072,,5196.0,0.98,1.015,0.31,,,,24.0,0.016,0.04,,,356.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
55 Cnc d,,4909.0,5.47467,,,,0.02,,5196.0,0.943,0.905,0.314513,4.45,,,24.0,0.01,0.03,0.01,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
55 Cnc d,TIC 332064670,5574.2,5.957,1.16,1232.493,3.878,0.13,0,5172.0,0.94,0.91,0.35,4.43,,,18.0,0.01,0.1,0.02,89.73,-69.1,133.1468373,28.3298154,37.69663,196.79526,12.5855,79.4274,5.2058,93.8,,0.074,,24.49,9.1,0.02,NASA,,,,,,,,,,,,
55 Cnc d,,4867.0,5.446,,,,0.0269,,5196.0,0.98,1.015,0.31,,,,24.0,0.016,0.04,,,254.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
55 Cnc e,TIC 332064670,0.7365474,0.01544,0.167,7.99,0.02514,0.05,0,5172.0,0.94,0.91,0.35,4.43,2457063.2096,1.5792,18.0,0.01,0.1,0.02,83.59,86.0,133.1468373,28.3298154,37.69663,196.79526,12.5855,79.4274,5.2058,1.3e-06,0.0006,5e-05,0.003,0.47,30.7,0.03,NASA,,,,,,,,,,,,
55 Cnc e,,0.7365478,0.015439,0.1737,,,0.028,,5196.0,0.98,1.015,0.31,,2455962.0697,,24.0,0.016,0.04,,90.36,170.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
55 Cnc e,,0.736546,0.0154393,0.185565,,,0.0,,5196.0,0.943,0.905,0.314513,4.45,2455568.005,,24.0,0.01,0.03,0.01,83.4,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
55 Cnc e,,0.7365447409884635,0.0151602786288022,0.0180240130472786,,,0.1030466049603972,,,,,,,2457063.211653475,,,,,,84.15288649623497,0.5316698657961894,,,,,,,,4.261375129100896e-07,0.001049337422223,0.0007654788990693,8.093760846683054e-05,0.4167684560311926,35.00941548021239,0.0289207468582836,SPEARNET UNCOUPLED,34.0,01-Apr-2021 22:08:37,0.0001676897108772,2.9743904841470007e-05,0.0003248650463284,1.937298625114796,10.922071196097091,NASA,0.0003817430196944,2.276484452726793,12.834327628770616,9234.0
55 Cnc e,,0.736545983680097,0.015169250872671,0.019218536914796,,,0.2093635681726148,,,,,,,2457063.20810572,,,,,,80.74028276210159,252.061399381913,,,,,,,,4.3765591166715e-07,0.0010869243648789,0.000765509403582,0.000124384530673,0.354274609110781,9.139176559492247,0.0175492147373019,SPEARNET COUPLED,34.0,28-Feb-2021 10:41:44,,,,,,,,,,
55 Cnc f,TIC 332064670,259.88,0.7708,0.677,44.812,0.141,0.08,0,5172.0,0.94,0.91,0.35,4.43,,,18.0,0.01,0.1,0.02,89.73,-97.6,133.1468373,28.3298154,37.69663,196.79526,12.5855,79.4274,5.2058,0.29,,0.0043,,24.49,37.0,0.05,NASA,,,,,,,,,,,,
55 Cnc f,,261.2,0.773567,,,,0.32,,5196.0,0.943,0.905,0.314513,4.45,,,24.0,0.01,0.03,0.01,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
55 Cnc f,,260.91,0.7733,,,,0.08,,5196.0,0.98,1.015,0.31,,,,24.0,0.016,0.04,,,139.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
61 Vir b,TIC 422478973,4.215,0.050201,0.188,5.1,0.016,0.12,0,5577.0,0.96,0.94,-0.01,4.34,,,33.0,0.01,,0.03,,105.0,199.596455,-18.3157745,44.08875,311.85177,8.50332,117.573,4.085,0.0006,,5e-06,,,54.0,0.11,NASA,,,,,,,,,,,,
61 Vir b,,4.215,0.05006,,,,0.12,,5571.0,0.978547,0.942,0.05,4.45,,,,,,0.035,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
61 Vir b,,4.215,0.050201,,,,0.12,,5531.0,0.94,0.95,-0.01,,,,,0.029,,,,105.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
61 Vir b,,4.215,0.050201,,,,0.12,,5571.0,0.963,0.95,0.05,,,,,,,,,105.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
61 Vir c,,38.021,0.2175,,,,0.14,,5531.0,0.94,0.95,-0.01,,,,,0.029,,,,341.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
61 Vir c,,38.021,0.2175,,,,0.14,,5571.0,0.963,0.95,0.05,,,,,,,,,341.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
61 Vir c,,38.021,0.216926,,,,0.14,,5571.0,0.978547,0.942,0.05,4.45,,,,,,0.035,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
61 Vir c,TIC 422478973,38.021,0.2175,0.398,18.2,0.057,0.14,0,5577.0,0.96,0.94,-0.01,4.34,,,33.0,0.01,,0.03,,341.0,199.596455,-18.3157745,44.08875,311.85177,8.50332,117.573,4.085,0.034,,0.0001,,,38.0,0.06,NASA,,,,,,,,,,,,
61 Vir d,TIC 422478973,123.01,0.476,0.456,22.9,0.072,0.35,0,5577.0,0.96,0.94,-0.01,4.34,,,33.0,0.01,,0.03,,314.0,199.596455,-18.3157745,44.08875,311.85177,8.50332,117.573,4.085,0.55,,0.001,,,20.0,0.09,NASA,,,,,,,,,,,,
61 Vir d,,123.01,0.474527,,,,0.35,,5571.0,0.978547,0.942,0.05,4.45,,,,,,0.035,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
61 Vir d,,123.01,0.476,,,,0.35,,5571.0,0.963,0.95,0.05,,,,,,,,,314.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
61 Vir d,,123.01,0.476,,,,0.35,,5531.0,0.94,0.95,-0.01,,,,,0.029,,,,314.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
70 Vir b,,116.6884,0.483601,,,,0.4007,,5544.6,1.59775,1.101,-0.0122615,4.06791,,,44.0,0.0520549,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
70 Vir b,,116.67,0.48,,,,0.43,,5432.0,1.968,0.92,-0.11,,,,,0.047,,,,2.1,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
70 Vir b,,116.6926,0.481,,,,0.399,,5439.0,1.94,1.09,-0.09,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
70 Vir b,TIC 95473936,116.688,0.481,1.13,2380.45,7.49,0.3988,0,5495.0,1.89,1.09,-0.09,3.95,,,,,0.03,,,359.83,202.1064898,13.7763085,74.0991,337.65749,17.9011,55.8347,4.2943,0.0054,,0.022,,,0.29,0.0019,NASA,,,,,,,,,,,,
75 Cet b,TIC 251095345,691.9,2.1,1.17,953.49,3.0,0.117,0,4846.0,10.5,2.49,0.0,2.63,,,18.0,1.0,0.04,0.05,,165.0,38.0391598,-1.0350269,-54.44177,169.94418,82.9613,12.0264,4.5054,3.6,,,,,28.0,0.048,NASA,,,,,,,,,,,,
75 Cet b,,691.9,1.97678,,,,0.117,,4904.0,10.5,2.15,0.02,2.87,,,47.0,1.0,0.04,0.14,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
75 Cet b,,691.9,2.1,,,,,,4846.0,10.5,2.49,0.0,,,,18.0,1.0,0.04,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
75 Cet b,,691.9,2.1,,,,0.117,,4846.0,10.5,2.49,0.0,,,,,,,,,165.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
81 Cet b,,952.7,2.28088,,,,0.206,,4845.0,15.7275,1.74,-0.07,2.45,,,51.0,0.503292,0.04,0.19,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
81 Cet b,,952.7,2.5,,,,0.206,,4790.0,11.0,2.4,-0.06,,,,,,,,,175.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
81 Cet b,TIC 35725282,952.7,2.5,1.14,1684.4,5.3,0.206,0,4785.0,11.0,2.4,-0.06,2.35,,,25.0,2.0,0.03,0.08,,175.0,39.4243555,-3.3963607,-55.24995,174.48697,101.26,9.84895,4.77853,8.8,,,,,6.9,0.029,NASA,,,,,,,,,,,,
81 Cet b,,952.7,2.5,,,,0.206,,,11.0,2.4,-0.06,,,,,0.1,0.03,,,175.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
83 Leonis B b,,17.054,0.123,,,,0.07,,4929.0,0.78,0.85,0.3,,,,,,,,,240.7,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
83 Leonis B c,,4970.0,5.4,,,,0.1,,4929.0,0.78,0.85,0.3,,,,,,,,,38.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
91 Aqr b,TIC 4610441,181.4,0.7,1.17,1017.0,3.2,0.027,0,4665.0,11.0,1.4,-0.03,2.52,,,18.0,0.1,0.1,0.05,,177.3,348.9745031,-9.0878076,-61.11327,67.07416,44.0304,22.6884,3.3221,0.1,,,,,0.8,0.026,NASA,,,,,,,,,,,,
91 Aqr b,,181.4,0.7,,,,0.027,,4665.0,11.0,1.4,-0.03,,,,18.0,0.1,0.1,,,177.3,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
91 Aqr b,,181.4,0.688457,,,,0.027,,4681.0,11.0,1.32,0.0,2.65,,,92.0,0.1,0.05,0.22,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
91 Aquarii A b,,181.4,0.7,,,,0.027,,4665.0,11.0,1.4,-0.03,,,,,,,,,177.3,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
AB Dor C b,,,0.58,,,,,,,,0.072,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
AB Pic b,,,275.0,,,,,,5285.0,,,0.04,,,,10.0,,0.02,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
AB Pic b,,,,1.55,,,,,4875.0,,,-0.64,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
AB Pic b,TIC 260351540,,260.0,1.1,4290.5,13.5,,0,5285.0,1.0,0.9,0.04,4.53,,,10.0,0.03,0.02,0.01,,,94.8039208,-58.0541184,-26.93081,266.94347,50.0475,19.9521,8.2763,,,,,,,,NASA,,,,,,,,,,,,
AD 3116 b,,1.982796,,1.02,,,0.146,,3200.0,0.29,0.276,,,,,200.0,0.08,,,88.4,5.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
AS 205 A b,,24.84,0.162,,,,0.35,,4300.0,3.7,0.9,0.0,,,,300.0,,0.5,,,94.14,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
AU Mic b,TIC 441420236,8.46321,0.066,0.375,57.2094,0.18,0.1,0,3700.0,0.75,0.5,,4.57,2458330.39153,3.5,100.0,0.03,,0.01,,,311.2911369,-31.34245,-36.80401,12.65304,9.7221,102.829,6.755,4e-05,0.0007,0.007,0.018,,,0.17,NASA,,,,,,,,,,,,
AU Mic b,,8.46321,0.066,0.375,,,0.1,,3700.0,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
AU Mic b,,8.462991,0.0645,0.3908,,,0.0,,3700.0,0.75,0.5,,,2458330.39046,,100.0,0.03,,,89.03,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
AU Mic c,,18.858991,0.1101,0.3131,,,0.0,,3700.0,0.75,0.5,,,2458342.2243,,100.0,0.03,,,88.62,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Alpha Centauri B b,,3.2357,0.04,,,,0.0,,5260.0,0.865,0.907,0.23,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Alpha Centauri B c,,,,0.08384,,,,,5260.0,0.865,0.907,0.23,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD +03 2562 b,,481.9,1.2589,,,,0.2,,4095.0,32.35,1.14,-0.71,1.89,,,20.0,8.82,0.09,0.1,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD +14 4559 b,,268.94,0.775866,,,,0.29,,4814.0,0.725686,0.86,0.1,4.6,,,26.0,0.0278105,0.07,0.05,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD +15 2375 b,,153.22,0.575123,,,,0.001,,4649.0,8.95,1.08,-0.22,2.61,,,30.0,1.45,0.08,0.12,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD +15 2940 b,,137.48,0.538316,,,,0.26,,4796.0,14.7,1.1,0.28,2.8,,,117.0,2.8,0.07,0.45,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD +20 594 b,,41.6855,0.232191,0.203541,,,0.0,,5766.0,0.928,0.961,-0.15,4.5,2457151.9021,,99.0,0.055,0.05,0.08,89.55,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD +20 2457 b,,379.63,1.04992,,,,0.15,,4259.0,32.9639,1.06,-0.79,1.77,,,64.0,1.05484,0.03,0.19,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD +20 2457 c,,621.99,1.45701,,,,0.18,,4259.0,32.9639,1.06,-0.79,1.77,,,64.0,1.05484,0.03,0.19,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD +48 738 b,,392.6,1.11234,,,,0.2,,4658.0,11.7902,1.19,-0.09,2.62,,,118.0,0.377339,0.08,0.26,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD +49 828 b,,2590.0,4.24519,,,,0.35,,4943.0,7.6,1.52,-0.19,2.85,,,30.0,1.3,0.06,0.09,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD -06 1339 b,,3.8728,0.0428543,,,,0.0,,4324.0,,0.7,-0.14,4.74,,,100.0,,0.17,0.02,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD -06 1339 c,,125.94,0.436631,,,,0.31,,4324.0,,0.7,-0.14,4.74,,,100.0,,0.17,0.02,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD -08 2823 b,,5.6,0.0558236,,,,0.15,,4746.0,1.27853,0.74,-0.07,4.13,,,63.0,0.066197,0.03,0.26,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD -08 2823 c,,237.6,0.679166,,,,0.19,,4746.0,1.27853,0.74,-0.07,4.13,,,63.0,0.066197,0.03,0.26,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD -10 3166 b,,3.48777,0.0437823,,,,0.019,,5393.03,0.745254,0.92,0.381727,4.68527,,,44.0,0.0293836,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD -11 4672 b,,1667.0,2.28335,,,,0.05,,4475.0,0.52,0.571,-0.48,4.1,,,100.0,0.02,0.05,0.36,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
BD+02.3313 b,,1393.0,2.47,,,,0.47,,4425.0,8.47,1.03,0.1,,,,,,,,,351.3,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+03 2562 b,,481.9,1.3,,,,0.2,,4095.0,32.35,1.14,-0.71,,,,20.0,8.82,0.09,,,218.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+03 2562 b,,481.9,1.3,,,,0.2,,4095.0,32.35,1.14,-0.71,,,,,,,,,218.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+03 2562 b,TIC 366659915,481.9,1.3,1.13,2034.112,6.4,0.2,0,4095.0,32.35,1.14,-0.71,1.89,,,20.0,8.82,0.09,0.1,,218.0,177.5647268,2.7601075,61.57342,269.32522,1070.63,0.903403,8.2014,2.7,,0.1,,,32.0,0.12,NASA,,,,,,,,,,,,
BD+14 4559 b,TIC 230183006,268.94,0.78,1.23,330.5432,1.04,0.29,0,4864.0,0.86,0.49,0.17,4.26,,,101.0,0.04,,0.29,,87.64,318.4010002,14.6893834,-22.63172,64.41837,49.352,20.2337,8.7505,0.99,,0.05,,,7.87,0.03,NASA,,,,,,,,,,,,
BD+14 4559 b,,268.94,0.777,,,,0.29,,5008.0,,0.86,0.1,,,,20.0,,0.07,,,87.64,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+14 4559 b,,268.94,0.777,,,,0.29,,5008.0,,0.86,0.1,,,,,,,,,87.64,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+15 2375 b,TIC 82604982,153.22,0.576,1.23,337.21763,1.061,0.001,0,4649.0,8.95,1.08,-0.22,2.61,,,30.0,1.45,0.08,0.12,,55.0,176.4820239,14.6163182,70.27244,249.00212,768.045,1.27327,9.3605,0.44,,0.027,,,240.0,0.25,NASA,,,,,,,,,,,,
BD+15 2375 b,,153.22,0.576,,,,0.001,,4649.0,8.95,1.08,-0.22,,,,30.0,1.45,0.08,,,55.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+15 2375 b,,153.22,0.576,,,,0.001,,4649.0,8.95,1.08,-0.22,,,,,,,,,55.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+15 2940 b,TIC 393702609,137.48,0.539,1.23,352.78,1.11,0.26,0,4796.0,14.7,1.1,0.28,2.8,,,117.0,2.8,0.07,0.45,,302.0,240.09564,15.5467507,44.78011,28.10432,426.42,2.31689,8.1004,0.34,,,,,33.0,0.1,NASA,,,,,,,,,,,,
BD+15 2940 b,,137.48,0.539,,,,0.26,,4796.0,14.7,1.1,0.28,,,,,,,,,302.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+15 2940 b,,137.48,0.539,,,,0.26,,4796.0,14.7,1.1,0.28,,,,117.0,2.8,0.07,,,302.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+20 274 b,,578.2,1.3,,,,0.21,,4296.0,17.3,0.8,-0.46,,,,,,,,,108.5,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+20 274 b,,578.2,1.3,,,,0.21,,4296.0,17.3,0.8,-0.46,,,,10.0,0.9,0.07,,,108.5,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+20 274 b,TIC 60923874,578.2,1.3,1.16,1334.886,4.2,0.21,0,4296.0,17.3,0.8,-0.46,1.99,,,10.0,0.9,0.07,0.05,,108.5,25.9203179,21.0052692,-40.23345,138.9742,1322.51,0.722619,8.1716,5.4,,,,,38.1,0.06,NASA,,,,,,,,,,,,
BD+20 594 b,TIC 26123781,41.6855,0.241,0.23,22.2481,0.07,0.0,0,5766.0,1.08,1.67,-0.15,4.5,2457068.52877,,99.0,0.06,,0.08,89.55,,53.6511231,20.5990205,-28.05348,166.7966,179.461,5.54366,10.4021,0.003,0.002801,0.019,0.01,0.16,,,NASA,,,,,,,,,,,,
BD+20 594 b,,41.6855,0.241,0.23,,,0.0,,5766.0,1.08,1.67,-0.15,,2457151.9021,,99.0,0.06,0.05,,89.55,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+20 594 b,,41.6855,0.241,0.1989,,,0.0,,5766.0,0.928,0.961,-0.15,,,,,,,,89.55,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+20 1790 b,,7.78287,0.066,,,,0.22,,4410.0,,0.63,0.3,,,,,,,,50.41,262.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+20 2457 b,TIC 95359428,379.63,1.05,1.03,17668.1697,55.59,0.15,0,4259.0,71.02,10.83,-0.79,1.77,,,64.0,73.63,,0.19,,207.64,154.186782,19.8912626,53.95226,216.04472,1539.71,0.598497,8.4752,2.0,,0.07,,,21.99,0.03,NASA,,,,,,,,,,,,
BD+20 2457 b,,379.63,1.45,,,,0.15,,4127.0,,2.8,-1.0,,,,17.0,,0.07,,,207.64,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+20 2457 b,,379.63,1.45,,,,0.15,,4137.0,,2.8,-1.0,,,,,,,,,207.64,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+20 2457 c,,621.99,2.01,,,,0.18,,4137.0,,2.8,-1.0,,,,,,,,,126.02,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+20 2457 c,,621.99,2.01,,,,0.18,,4127.0,,2.8,-1.0,,,,17.0,,0.07,,,126.02,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+20 2457 c,TIC 95359428,621.99,2.01,1.1,3963.17,12.47,0.18,0,4137.0,49.0,2.8,-1.0,1.51,,,10.0,26.0,0.07,0.05,,126.02,154.186782,19.8912626,53.95226,216.04472,1539.71,0.598497,8.4752,10.2,,,,,16.54,0.06,NASA,,,,,,,,,,,,
BD+24 4697 b,,145.081,0.5,,,,0.50048,,5077.0,,0.75,-0.11,,,,32.0,,0.02,,,66.35,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+26 1888 b,,536.78,1.19,,,,0.2675,,4748.0,,0.76,0.02,,,,,,,,,1.3,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+26 1888 b,,536.78,1.19,,,,0.2675,,4748.0,,0.76,0.02,,,,87.0,,0.04,,,1.3,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+45 564 b,,307.88,0.83,,,,0.12,,,,,,,,,,,,,,70.31,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+45 564 b,,307.88,0.83,1.21,,,0.12,,5004.0,0.81,0.81,-0.09,,,,,,,,2.579,70.31,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+45 564 b,TIC 292607437,307.88,0.83,1.21,432.24663,1.36,0.12,0,5004.0,0.81,0.81,-0.09,4.22,,,50.0,0.04,0.03,0.13,2.579,70.31,32.9470485,45.9242187,-14.70463,137.23205,53.622,18.6205,8.8588,1.47,,0.04,,,51.85,0.06,NASA,,,,,,,,,,,,
BD+48 738 b,,392.6,1.0,,,,0.2,,4414.0,11.0,0.74,-0.2,,,,,,,,,358.9,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
BD+48 738 b,TIC 302069358,392.6,1.0,1.24,289.2253,0.91,0.2,0,4414.0,11.0,0.74,-0.2,2.24,,,15.0,1.0,0.07,0.06,,358.9,40.7102869,49.5869395,-9.3787,140.80848,871.493,1.12086,7.8885,5.5,,,,,31.1,0.1,NASA,,,,,,,,,,,,
BD+48 738 b,,392.6,1.0,,,,0.2,,4414.0,11.0,0.74,-0.2,,,,15.0,1.0,0.07,,,358.9,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
BD+48 740 b,TIC 302070274,733.0,1.7,1.2,540.311,1.7,0.76,0,4534.0,10.33,1.09,-0.13,2.48,,,8.0,1.81,0.06,0.04,,100.0,40.7425426,48.9300579,-9.96534,141.10904,666.589,1.47289,7.5248,5.0,,0.1,,,12.0,0.05,NASA,,,,,,,,,,,,
BD+48 740 b,,733.0,1.7,,,,0.76,,4534.0,10.33,1.09,-0.13,,,,,,,,,100.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
